Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1;0;0;0;0;0;0;0;0;0
2020;0.106642835090043;0.546541932472918;0.000424814390487249;0.000913725644095696;0.106642835090043;0.0000453993085611176;0.43165731209339;9.5897572508497E-08;0.0297631598774832;0.0000497589678184923
2025;0.0113731119468642;0.125492518010841;0.00103625663899764;0.000419306221338381;0.0113731119468642;0.0000118294698970865;0.112293557287988;4.40071360849865E-08;0.00683397495245198;0.0000228342554556617
2030;0.00121301837673987;0.0216098797625372;0.00186972084667003;0.000108377889947306;0.00121301837673987;2.27938025100368E-06;0.0216098797625372;1.13745046193003E-08;0.00117681419867533;5.90195971074148E-06
2035;0.000140585294754371;0.00488689083534156;0.00364824958783427;0.0000771446519399869;0.000140585294754371;5.20986749307518E-07;0.00488689083534156;8.09650566432264E-09;0.000266126539601398;4.20108407600802E-06
2040;0.0000163231903753122;0.000882907255597279;0.00567677707709046;0.0000262310826388315;0.0000163231903753122;9.54161243854955E-08;0.000882907255597279;2.7530114379391E-09;0.0000480806837389991;1.42847210790674E-06
2045;1.89880243239235E-06;0.000144417307658791;0.00798235916682488;6.45066678263688E-06;1.89880243239235E-06;1.58339350675942E-08;0.000144417307658791;6.77012065397703E-10;7.86456658041931E-06;3.51285446478538E-07
2050;2.21298908769955E-07;0.0000223395812554472;0.0105946729748174;1.34322502808428E-06;2.21298908769955E-07;2.48556407216453E-09;0.0000223395812554472;1.40974504062895E-10;1.21655172091457E-06;7.31483146799362E-08
2055;2.58414403313979E-08;3.33537128872933E-06;0.0135462557181775;2.53063165954096E-07;2.58414403313979E-08;3.76614310360706E-10;3.33537128872933E-06;2.65595515055623E-11;1.81635082358731E-07;1.3781119105197E-08
2060;3.02351984048195E-09;4.86079083433926E-07;0.0168727515093169;4.46147028168556E-08;3.02351984048195E-09;5.56975128974963E-11;4.86079083433926E-07;4.6824139455545E-12;2.64705205836358E-08;2.42959314542672E-09
