Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89813982251383884;0.002328654502657383;-0.25024294544541137;3.8294078819048208e-05;0.89813982251383884;-0.22474423779267422;-0.96522300954308593;8.9168150078089425e-06;0.049932639791569387;0.00082112844204215274
2025;0.80667725103001731;0.0045047916689019063;-0.26893277726002252;7.4223153903931412e-05;0.80667725103001731;-0.21692467053548026;-0.93167709077052618;1.7282936502660551e-05;0.096594896101011102;0.0015915448186280448
2030;0.73382082325631615;-0.32830057790449069;-0.10417409726285465;0.027788023891705739;0.73382082325631615;-0.069974652329887213;-0.32830057790449069;0.0064704694855243355;-7.0396507859632882;0.59585025855946616
2035;0.65993030575308342;-0.31033956746583824;-0.10950077868481789;0.027191982196443056;0.65993030575308342;-0.065931201784102819;-0.31033956746583824;0.0063316805735697673;-6.654518228298592;0.58306951532926843
2040;0.59350104144975735;-0.29321336306721157;-0.11503775657145665;0.026612638637714538;0.59350104144975735;-0.062078248491596981;-0.29321336306721157;0.0061967798396062104;-6.2872861660680028;0.57064682523052468
2045;0.53375890099462409;-0.27687583054592718;-0.12078640230522852;0.026044133620900165;0.53375890099462409;-0.058406414478437002;-0.27687583054592718;0.0060644028710963027;-5.9369653582635786;0.55845654273395939
2050;0.48003069418032152;-0.26129366969946405;-0.12674709380969262;0.025486293062727209;0.48003069418032152;-0.05490798629423127;-0.26129366969946405;0.0059345091325738106;-5.602841758634332;0.54649493502418889
2055;0.43171100347905733;-0.24643491656487146;-0.13291905756273037;0.024938946049509587;0.43171100347905733;-0.051575560895282951;-0.24643491656487146;0.0058070588266139617;-5.284229973513443;0.53475833725032496
2060;0.3919030645996936;-0.01912576093032908;-0.011363659003377213;-0.0084022076488358983;0.3919030645996936;-0.0064099153428151898;-0.01912576093032908;-0.0019564625543257597;-0.41010795297626979;-0.18016601754554912
2065;0.3527300356132459;-0.0083504988592348565;-0.0055124937318018485;-0.0074595568883608762;0.3527300356132459;-0.0036813874810936523;-0.0083504988592348565;-0.0017369653707573914;-0.17905724148527036;-0.15995304012947706
2070;0.31748786083122749;0.0017342253149351041;0.0012719104239611312;-0.0065627444920055714;0.31748786083122749;-0.001124325576991784;0.0017342253149351041;-0.0015281416966641433;0.037186473076730286;-0.14072296100149911
2075;0.28576738815490432;0.011163161734257429;0.0090960466975265053;-0.0057062136663438992;0.28576738815490432;0.0012706558802140881;0.011163161734257429;-0.0013286976270731042;0.23936832757955886;-0.12235662750748641
2080;0.25721664262180222;0.019968687579290798;0.018077092774299031;-0.0048887290463103129;0.25721664262180222;0.0035113836057895026;0.019968687579290798;-0.0011383455059785341;0.42818257619121602;-0.10482755008500765
2085;0.23151883282537916;0.028181751466307327;0.028343911679462597;-0.0041090752574269541;0.23151883282537916;0.0056053470175315458;0.028181751466307327;-0.00095680233220326715;0.60429284080434376;-0.088109667823805207
2090;0.20838883339928779;0.03583193277286386;0.040038142510256947;-0.0033660576216462796;0.20838883339928779;0.0075597118854319953;0.03583193277286386;-0.00078378992375488163;0.76833338313665045;-0.072177363600966798
2095;0.18757001922423186;0.042947498590580398;0.053315388847191558;-0.0026585027691733024;0.18757001922423186;0.0093813334507259899;0.042947498590580398;-0.00061903506028912827;0.92091032595224986;-0.057005477200046145
2100;0.16449583267021656;0.42273824305266811;0.59840438582021704;-0.030563264954217021;0.16449583267021656;0.091318340543446147;0.42273824305266811;-0.0071166871755599798;9.0646493038712013;-0.65535891995642781
2105;0.14779557210701424;0.40511446280740665;0.63825533680253455;-0.028951039649306655;0.14779557210701424;0.087590033771395986;0.40511446280740665;-0.006741278881689669;8.6867478720580298;-0.62078845648875769
2110;0.13279739864862697;0.38821060375022287;0.68070032157460658;-0.027415000944070605;0.13279739864862697;0.08401162124973488;0.38821060375022287;-0.0063836107146567206;8.3242834942696504;-0.58785163941824137
