Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89811808978482222;0.0023230750854893109;-0.25373633983074573;6.5227914626880842e-05;0.89811808978482222;-0.2278697965099305;-0.9652051766388875;1.5400327851355922e-05;0.051765363531877877;0.0014534815229080625
2025;0.80665886492893812;0.0044940171982828904;-0.27268864506770907;0.00012630896443358922;0.80665886492893812;-0.21993689132950361;-0.93166652742019429;2.9821579824673705e-05;0.10014072960479672;0.0028145579547045013
2030;0.73497892028539424;-0.15263019024888433;-0.049030015948681172;-0.017919237206798371;0.73497892028539424;-0.040266764815383993;-0.15263019024888433;-0.0042307366318466433;-3.401077017925572;-0.39929653329672271
2035;0.66098568601374907;-0.1410514960649763;-0.050382778533297756;-0.016761873473841161;0.66098568601374907;-0.037259778181278853;-0.1410514960649763;-0.0039574827491682465;-3.1430675728592745;-0.37350685703986508
2040;0.59448319014338846;-0.13007898479424065;-0.051661145572501344;-0.015659895176077507;0.59448319014338846;-0.034408988008753014;-0.13007898479424065;-0.003697305382350427;-2.8985657750761775;-0.34895134114444998
2045;0.53467186915356757;-0.11967539722347947;-0.052846230532155314;-0.014608049182044846;0.53467186915356757;-0.031704357122016844;-0.11967539722347947;-0.0034489642656690307;-2.6667413730152583;-0.32551292944576765
2050;0.48087845915858102;-0.10981517072745704;-0.053916723208502493;-0.013604383553582282;0.48087845915858102;-0.02913938932539371;-0.10981517072745704;-0.0032119985460093252;-2.4470247516019019;-0.30314812666933394
2055;0.43249744274983742;-0.1004738095865252;-0.054848631702458794;-0.012647014984283349;0.43249744274983742;-0.026707856523872992;-0.1004738095865252;-0.0029859635742319028;-2.2388700697479393;-0.28181496687036234
2060;0.39664601170575486;0.32938105542770368;0.19606135391841972;0.20397496118603334;0.39664601170575486;0.12592549622857024;0.32938105542770368;0.048158542147198585;7.3396379571335864;4.545198768283325
2065;0.35706634589788405;0.31803281732234251;0.21029042062777059;0.19578709204230066;0.35706634589788405;0.12131301615318686;0.31803281732234251;0.0462253840822998;7.0867637927814702;4.3627474883293269
2070;0.32146632893643656;0.30711035240773787;0.22555654728430852;0.187951571120202;0.32146632893643656;0.11688425074854716;0.30711035240773787;0.044375415525482728;6.8433771840143249;4.188147626479128
2075;0.28941627087058058;0.29656939215612593;0.24193564348056751;0.18041085275128205;0.28941627087058058;0.11261516165606393;0.29656939215612593;0.042595049929243789;6.6084916898655912;4.0201168856318379
2080;0.26056211893823711;0.28639640506974229;0.25950919906354564;0.17315432907262049;0.26056211893823711;0.10850004956631125;0.28639640506974229;0.040881782774349021;6.381805786331471;3.8584188894930374
2085;0.23458513738375764;0.27657834608487109;0.2783646960918984;0.16617176026274419;0.23458513738375764;0.10453341691175314;0.27657834608487109;0.039233196436247203;6.1630287886769901;3.7028254628804556
2090;0.21119838398698648;0.26710263888600699;0.29859605133119027;0.15945326219084158;0.21119838398698648;0.10070996077508883;0.26710263888600699;0.037646957269046183;5.9518804573403328;3.5531163565099204
2095;0.19014353817549151;0.25795715886938958;0.32030409156063588;0.1529892944666166;0.19014353817549151;0.097024566045506078;0.25795715886938958;0.036120812784080178;5.7480906183072094;3.4090789807088053
2100;0.16864103168525496;0.098083543785659533;0.13731860112605743;-0.023388010047795487;0.16864103168525496;0.017635635221136793;0.098083543785659533;-0.005521915342337546;2.1856074873662918;-0.52115786096355887
2105;0.15158954002807412;0.093282628425156541;0.14528742007026696;-0.023348857968242601;0.15158954002807412;0.016511381654291057;0.093282628425156541;-0.0055126715260262957;2.0786281088371354;-0.52028543043225839
2110;0.13627704683766567;0.088699202097640609;0.15367154998721932;-0.023291904205074883;0.13627704683766567;0.015442680287707697;0.088699202097640609;-0.0054992247275172743;1.9764950647752095;-0.51901632282859078
2115;0.12251148337807594;0.084314306790957458;0.16248787074998883;-0.023212058583668586;0.12251148337807594;0.014426256921287245;0.084314306790957458;-0.0054803731552389625;1.8787859114992325;-0.5172371131748249
2120;0.11013655534685084;0.080119898432153391;0.17175341190671656;-0.023110923541141377;0.11013655534685084;0.013459834011456975;0.080119898432153391;-0.0054564951450175835;1.7853214019571715;-0.51498350877136223
2125;0.099011761398828266;0.076108245759573617;0.18148527658014557;-0.022990020028309112;0.099011761398828266;0.012541227108411721;0.076108245759573617;-0.0054279497937420092;1.6959292595090592;-0.51228940114947064
2130;0.089010797151621524;0.07227191849005786;0.19170055282937692;-0.022850791154891442;0.089010797151621524;0.011668341201751618;0.07227191849005786;-0.0053950778199977588;1.6104439142551794;-0.50918694729784175
2135;0.080020120495722491;0.068603775924906837;0.20241621099884033;-0.022694605682703553;0.080020120495722491;0.010839167205604298;0.068603775924906837;-0.0053582023888104936;1.5287062491414396;-0.50570664750180605
2140;0.071937661904648426;0.065096955978745555;0.2136489854278889;-0.022522761372960151;0.071937661904648426;0.010051778578037258;0.065096955978745555;-0.0053176299019453734;1.4505633554882011;-0.50187741993171309
2145;0.064671665088790464;0.061744864615687137;0.22541523872666169;-0.02233648819349629;0.064671665088790464;0.0093043280697076812;0.061744864615687137;-0.0052736507551327336;1.3758682975950389;-0.49772667210982141
2150;0.058139644818219267;0.058541165678055077;0.23773080664156176;-0.022136951391491386;0.058139644818219267;0.0085950445969501209;0.058541165678055077;-0.0052265400635390421;1.304479886092927;-0.49328036938018038
2155;0.052267450071512622;0.055479771093135587;0.25061082133207568;-0.02192525443708385;0.052267450071512622;0.0079222302345999494;0.055479771093135587;-0.0051765583567550868;1.2362624597201155;-0.48856310050155122
2160;0.04698842186483166;0.052554831444261617;0.26406951066187401;-0.021702441843054299;0.04698842186483166;0.0072842573240958688;0.052554831444261617;-0.0051239522445239282;1.1710856752164529;-0.48359814047874983
