Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89802323875401635;0.0013918805422749089;-0.13296216953730955;3.5095381675539388e-05;0.89802323875401635;-0.11939878028353275;-0.96603418968384114;4.3378361225809847e-06;0.0052937782982355646;0.00013347924928860014
2025;0.8064920451555565;0.0026925760660675732;-0.14303173968606142;6.7960763067934665e-05;0.8064920451555565;-0.11534556022034179;-0.93327436739495717;8.400041227069055e-06;0.010240750058622298;0.00025847707596554929
2030;0.73284213953310728;-1.4579341558573011;-0.2458955377123706;0.012566495160548455;0.73284213953310728;-0.17864937634659273;-1.4579341558573011;0.0015532356121848168;-5.5450018590815233;0.047794503439975905
2035;0.65878382148033099;-1.4016030311228365;-0.26296943540225493;0.012420952883200068;0.65878382148033099;-0.17170476319481151;-1.4016030311228365;0.0015352463920110249;-5.3307561127137202;0.047240958415168378
2040;0.59227055881740021;-1.3475367577175794;-0.28121834419972402;0.0122710257363015;0.59227055881740021;-0.16504063067277941;-1.3475367577175794;0.0015167151960951419;-5.125124338918372;0.04667073629303798
2045;0.5324729482273618;-1.2955075272566829;-0.30072225061741897;0.012118446576581914;0.5324729482273618;-0.15862860717597771;-1.2955075272566829;0.0014978562078469537;-4.9272401076770747;0.046090427696176342
2050;0.47871290695510527;-1.2454399182108358;-0.32156651239861889;0.011963505341526541;0.47871290695510527;-0.15245933466583025;-1.2454399182108358;0.0014787052639274878;-4.7368165661723909;0.045501135351951626
2055;0.43038082089346047;-1.1972612643564411;-0.34384221294299633;0.01180647782266764;0.43038082089346047;-0.14652379741169175;-1.1972612643564411;0.0014592964525390606;-4.5535773409183715;0.044903908186032356
2060;0.39233833783951116;-0.80036995419574342;-0.25214664859719571;0.079846536865111908;0.39233833783951116;-0.089057658234294457;-0.80036995419574342;0.0098691387681326126;-3.0440694911621069;0.30368257275509092
2065;0.35314064830284475;-0.75508960410533421;-0.26428587478602716;0.079035755897442952;0.35314064830284475;-0.083561160003284118;-0.75508960410533421;0.0097689251559379686;-2.8718534658893193;0.30059890676443535
2070;0.31790824511528587;-0.71203182984312996;-0.27683486670700419;0.078162358379946312;0.31790824511528587;-0.078347114607126012;-0.71203182984312996;0.0096609720544217625;-2.7080906255905122;0.29727708949389592
2075;0.28619172295091511;-0.67098567494887418;-0.28978730116154261;0.077274704726655485;0.28619172295091511;-0.073383470133266793;-0.67098567494887418;0.0095512568754508032;-2.5519786336446475;0.29390105146231293
2080;0.25764015015729891;-0.63186529191323049;-0.30313363536721982;0.076374007721082521;0.25764015015729891;-0.068659465813048881;-0.63186529191323049;0.0094399295206895328;-2.4031909838120873;0.29047540528322713
2085;0.23193763043401833;-0.59458831478842944;-0.31686066188466588;0.075461444663326702;0.23193763043401833;-0.064164775589278966;-0.59458831478842944;0.0093271355060051131;-2.2614144113739334;0.28700462861512055
2090;0.20879980430679507;-0.55907572245491111;-0.33095101504853619;0.074538157222259926;0.20879980430679507;-0.059889491234072209;-0.55907572245491111;0.0092130159431973307;-2.1263483730902144;0.28349306359922899
2095;0.18797070002939642;-0.52525170714280689;-0.3453826241418323;0.073605251381585288;0.18797070002939642;-0.055824106104598759;-0.52525170714280689;0.0090977075333313756;-1.9977045471439507;0.27994491665438498
2100;0.16964451051753937;-0.22836824683219675;-0.16638687991202272;-0.067169370440316845;0.16964451051753937;-0.036528844838856427;-0.22836824683219675;-0.0083022240396407286;-0.86855935719202781;-0.25546715019230765
2105;0.15263769900970542;-0.21061006912370125;-0.17054558898635941;-0.064567546727716335;0.15263769900970542;-0.034012321427407503;-0.21061006912370125;-0.0079806351482746458;-0.80101918192971944;-0.24557156110454892
2110;0.13736350995974522;-0.19384821977740746;-0.17442695869113456;-0.062126870258022153;0.13736350995974522;-0.031638863549117983;-0.19384821977740746;-0.0076789642717002525;-0.73726837026690484;-0.2362888678447064
2115;0.12361818963660828;-0.17799274967811002;-0.17796848528341402;-0.05973149448160231;0.12361818963660828;-0.029383034584518818;-0.17799274967811002;-0.0073828926214138113;-0.67696481621132576;-0.22717846798193858
2120;0.11124866555546989;-0.16300095785778695;-0.18110002793139124;-0.057382731489521124;0.11124866555546989;-0.027239718813051671;-0.16300095785778695;-0.0070925823736260711;-0.61994611397386268;-0.21824535182898469
2125;0.10011719509036736;-0.14883201812446101;-0.18374302753720873;-0.05508169761894733;0.10011719509036736;-0.025204008043541892;-0.14883201812446101;-0.0068081715091044236;-0.5660569881537002;-0.20949376518230345
2130;0.090099829823520605;-0.13544690015791955;-0.18580965226174806;-0.052829327132723175;0.090099829823520605;-0.023271193552336984;-0.13544690015791955;-0.0065297755039859448;-0.5151489936394662;-0.20092726134996183
2135;0.081085033766481796;-0.12280829383527958;-0.18720186321661836;-0.050626385128760186;0.081085033766481796;-0.021436758325463785;-0.12280829383527958;-0.0062574889253959789;-0.46708022779453079;-0.19254875025030202
2140;0.072972440031233418;-0.11088053665698133;-0.1878103932261288;-0.048473479718250154;0.072972440031233418;-0.019696369593627361;-0.11088053665698133;-0.0059913869366913092;-0.421715054434253;-0.18436054472967273
2145;0.065671732075414241;-0.099629544148396407;-0.187513630950914;-0.046371073509710502;0.065671732075414241;-0.018045871649200053;-0.099629544148396407;-0.0057315267169035251;-0.3789238391204649;-0.17636440424002089
2150;0.059101637036879193;-0.089022743117688319;-0.18617640200386809;-0.044319494434163387;0.059101637036879193;-0.016481278934810363;-0.089022743117688319;-0.0054779487987456424;-0.33858269531922125;-0.16856157601059915
2155;0.053189019924341677;-0.0790290076547885;-0.18364863797101783;-0.042318945945114567;0.053189019924341677;-0.014998769393461814;-0.0790290076547885;-0.0052306783293431351;-0.30057324098391008;-0.16095283384183129
2160;0.047868068556895904;-0.069618597761303663;-0.17976392347323622;-0.04036951662532956;0.047868068556895904;-0.01359467807051778;-0.069618597761303663;-0.004989726257644319;-0.26478236514465864;-0.15353851464303345
2165;0.043079560158361285;-0.060763100505392235;-0.17433791056215009;-0.038471189230906831;0.043079560158361285;-0.012265490958225052;-0.060763100505392235;-0.0047550904522798976;-0.23110200410102427;-0.1463185528299914
2170;0.038770201423950212;-0.05243537359980685;-0.16716658883071389;-0.036623849201735566;0.038770201423950212;-0.011007839073788368;-0.05243537359980685;-0.004526756753466925;-0.1994289268307817;-0.13929251269302312
2175;0.034892034696925762;-0.044609491305425103;-0.15802439863019657;-0.03482729266589573;0.034892034696925762;-0.0098184927623290105;-0.044609491305425103;-0.0043046999623633639;-0.1696645292433043;-0.13245961884033805
2180;0.031401903630851491;-0.037260692566489423;-0.14666217371415158;-0.033081233964451076;0.031401903630851491;-0.0086943562164055535;-0.037260692566489423;-0.0040888847711425648;-0.14171463692086753;-0.12581878481729339
2185;0.028260972376988332;-0.030365331287334613;-0.13280489846887455;-0.03138531272157969;0.028260972376988332;-0.0076324622040284638;-0.030365331287334613;-0.00387926663687086;-0.11548931600473249;-0.11936863999641979
2190;0.025434292933782087;-0.023900828664229212;-0.1161492636337691;-0.029739100483943952;0.025434292933782087;-0.0066299669974469394;-0.023900828664229212;-0.0036757926021425734;-0.090902691897501331;-0.11310755482912341
2195;0.022890415832885477;-0.017845627489060305;-0.096361003052392036;-0.028142106951968778;0.022890415832885477;-0.0056841454952175456;-0.017845627489060305;-0.0034784020652743452;-0.067872775465040336;-0.10703366454528108
2200;0.019908536570920336;0.22786781637315037;1.4147080487164176;0.060259459575925718;0.019908536570920336;0.035612916738383141;0.22786781637315037;0.0074481498133369926;0.86665605599381867;0.22918649243063666
2205;0.017893355678635873;0.23143868669386328;1.5987013161334662;0.064339929245998767;0.017893355678635873;0.036558632596527307;0.23143868669386328;0.0079525013230479051;0.88023724722069463;0.24470585715337068
2210;0.016087646340749787;0.23455059824792715;1.802051530121429;0.068258804414553398;0.016087646340749787;0.037427647240604933;0.23455059824792715;0.0084368795362043704;0.89207286770002614;0.25961062497696691
2215;0.01446426248345576;0.23716081836679304;2.0266083000320068;0.071927974599316671;0.01446426248345576;0.038203788282144088;0.23716081836679304;0.0088903938793310766;0.90200039107519014;0.27356568283335903
2220;0.013004784220837892;0.23930106832967946;2.2743885372483619;0.075356564852900321;0.013004784220837892;0.038892104382399588;0.23930106832967946;0.0093141722211375171;0.91014046377698221;0.28660573629103447
2225;0.011692653595779387;0.24100143547028779;2.5475910639475186;0.078553490741077675;0.011692653595779387;0.039497416351921118;0.24100143547028779;0.0097093165374797299;0.91660751780539285;0.29876469417131363
