Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.8981836028208392;0.0029790280624145834;-0.19455224273436933;1.5358412971105848e-07;0.8981836028208392;-0.17474360649382614;-0.96461979980772516;2.7822204151650709e-08;0.047479677922788496;2.4478201816005594e-06
2025;0.80673379839665149;0.0057628316806284888;-0.20894123866170844;5.9408794213517443e-07;0.80673379839665149;-0.1685598514865323;-0.93048467628630993;1.0762072905068365e-07;0.091847873328762222;9.4685593956868154e-06
2030;0.73415590716155787;-0.64751932718139937;-0.1597752957554377;-0.013838168116668784;0.73415590716155787;-0.11980680091116436;-0.64751932718139937;-0.0025068237138247823;-10.320147531082569;-0.22055239207390762
2035;0.66034482063677835;-0.61623263370480552;-0.16905153148080165;-0.013422630705255024;0.66034482063677835;-0.11406385115790346;-0.61623263370480552;-0.0024315479238408017;-9.8215009596455545;-0.21392956676127758
2040;0.59395497516762286;-0.58630686083156225;-0.17882022774302619;-0.013009158059815102;0.59395497516762286;-0.10856781010069336;-0.58630686083156225;-0.0023566461721155757;-9.3445447081960591;-0.20733964963929555
2045;0.53424017455955863;-0.55768618955285865;-0.18910305199558719;-0.012598431120320087;0.53424017455955863;-0.10330868932073928;-0.55768618955285865;-0.0022822418128714828;-8.8883891347083015;-0.20079349351291462
2050;0.48052925538322999;-0.53031700619061817;-0.19992214963949761;-0.012191070778807107;0.48052925538322999;-0.098276889023358474;-0.53031700619061817;-0.0022084473224760065;-8.4521797456649317;-0.1943009941445546
2055;0.43221854178985425;-0.50414781749580306;-0.21130009365206148;-0.01178764155212347;0.43221854178985425;-0.093463183323123492;-0.50414781749580306;-0.0021353649647698342;-8.0350958428958457;-0.18787114879020997
2060;0.39398834731611287;-0.24199761124944175;-0.11126866918937939;0.021046940864256212;0.39398834731611287;-0.040025845577051779;-0.24199761124944175;0.003812713504935096;-3.8569521332050631;0.33544563950327455
2065;0.35478398299260144;-0.21992767491824483;-0.11229516814062479;0.020377495182663092;0.35478398299260144;-0.036149085517800043;-0.21992767491824483;0.0036914415059546984;-3.5052020164463951;0.32477603026062768
2070;0.31948154740073387;-0.19905734235141798;-0.11286976324658415;0.019753186728807593;0.31948154740073387;-0.032481460371959384;-0.19905734235141798;0.0035783462448138043;-3.1725711557584773;0.31482581707280444
2075;0.28769260655562279;-0.17933106375184299;-0.11292029797161929;0.019170800043896454;0.28769260655562279;-0.029013489624532849;-0.17933106375184299;0.0034728452319599083;-2.8581741998050387;0.3055437520345553
2080;0.25906740296643116;-0.16069566921255318;-0.11236643255361778;0.018627320487737464;0.25906740296643116;-0.025736087505564234;-0.16069566921255318;0.00337439235670417;-2.5611637278820534;0.29688178788268565
2085;0.23329100380374213;-0.14310027126670807;-0.11111882927906103;0.018119923037681229;0.23329100380374213;-0.022640547365891103;-0.14310027126670807;0.0032824758581176949;-2.2807286967615723;0.28879489947385756
2090;0.21007983274844777;-0.12649617130898025;-0.1090782620604136;0.017645961666782325;0.21007983274844777;-0.019718526649287985;-0.12649617130898025;0.0031966164008550603;-2.0160929492380268;0.2812409144939767
2095;0.18917854730194095;-0.11083676974244557;-0.10613464357788205;0.017202959268973198;0.18917854730194095;-0.016962032440402234;-0.11083676974244557;0.0031163652500707691;-1.766513782051516;0.27418035288585541
2100;0.16919530031302804;-0.31694446488887285;-0.33934391655586205;0.0016217425258181646;0.16919530031302804;-0.057121612576403497;-0.31694446488887285;0.00029378329466470815;-5.051453291828703;0.025847293542151303
2105;0.15218952288083726;-0.29261666959592864;-0.34830483205356422;0.00041608067211843311;0.15218952288083726;-0.052932972004108424;-0.29261666959592864;7.5374203213664226e-05;-4.6637174730045254;0.0066314837887321877
2110;0.13689338125886388;-0.26961395552710632;-0.35678378564561464;-0.00062026401641016374;0.13689338125886388;-0.048953701395101634;-0.26961395552710632;-0.00011236259973574497;-4.2971007669999333;-0.0098857530406678343
2115;0.12313496248113773;-0.24787293609702654;-0.36466402449208402;-0.0015004272023223363;0.12313496248113773;-0.045174697651059983;-0.24787293609702654;-0.00027180667700652666;-3.9505929199350072;-0.023913772821298415
2120;0.11075964419862311;-0.22733305653088307;-0.37181442185719171;-0.002236743842187978;0.11075964419862311;-0.041587225614062848;-0.22733305653088307;-0.0004051925412435417;-3.6232288112589348;-0.035649169795596944
2125;0.099628355247384531;-0.2079364725516944;-0.37808800859950309;-0.0028407910340975577;0.099628355247384531;-0.038182903852389066;-0.2079364725516944;-0.00051461741686159579;-3.3140865202703269;-0.045276459475703475
2130;0.089616011238079787;-0.18962793411363948;-0.38332036746393516;-0.003323428740890672;0.089616011238079787;-0.034953690975607597;-0.18962793411363948;-0.00060204861717470803;-3.0222854730619089;-0.052968727689302199
2135;0.080610107555680544;-0.17235467398260812;-0.38732787801657453;-0.0036948384996279976;0.080610107555680544;-0.031891872462957202;-0.17235467398260812;-0.00066933055672761463;-2.7469846667199986;-0.058888247530258522
2140;0.072509453927452852;-0.1560663009662345;-0.38990579902384304;-0.003964560211398644;0.072509453927452852;-0.02899004798624058;-0.1560663009662345;-0.0007181914158745431;-2.4873809676273413;-0.063187065713687665
2145;0.065223036311926857;-0.14071469760309735;-0.39082617394937125;-0.0041415271013936408;0.065223036311926857;-0.026241119209047748;-0.14071469760309735;-0.00075024947389646518;-2.2427074808360272;-0.066007559768768723
2150;0.058668993295721075;-0.1262539221286027;-0.38983554402087228;-0.004234098935092581;0.058668993295721075;-0.023638278044802598;-0.1262539221286027;-0.00076701912620826332;-2.0122319876020818;-0.067482967437532043
2155;0.052773695474831933;-0.1126401145426843;-0.38665245199724363;-0.0042500935725721563;0.052773695474831933;-0.021174995356811534;-0.1126401145426843;-0.00076991660051192734;-1.7952554482947238;-0.067737889586673025
2160;0.047470917456894461;-0.099831406611197965;-0.38096471833273249;-0.0041968169392231445;0.047470917456894461;-0.018845010084039805;-0.099831406611197965;-0.00076026538607761388;-1.591110568000742;-0.066888767880121755
2165;0.042701093164038355;-0.087787835639595108;-0.37242646988286943;-0.0040810914876592882;0.042701093164038355;-0.016642318776922137;-0.087787835639595108;-0.00073930138969980491;-1.3991604222513701;-0.065044338404265253
2170;0.038410646054068895;-0.076471261864462237;-0.36065489961836228;-0.0039092832221882794;0.038410646054068895;-0.014561165528164142;-0.076471261864462237;-0.00070817783125748206;-1.2187971404106206;-0.062306062383318789
2175;0.034551386721363916;-0.065845289314065081;-0.34522673399137727;-0.0036873273540085575;0.034551386721363916;-0.012596032283915874;-0.065845289314065081;-0.00066796989122636791;-1.0494406443525326;-0.058768535071238207
2180;0.031079971097610449;-0.055875189995828647;-0.3256743826321129;-0.0034207526521872352;0.031079971097610449;-0.010741629521366385;-0.055875189995828647;-0.00061967912192818948;-0.89053744016304481;-0.054519873857022914
2185;0.027957413154855101;-0.046527831273512094;-0.30148174291715346;-0.0031147045525326596;0.027957413154855101;-0.0089928872791496754;-0.046527831273512094;-0.00056423763376900471;-0.74155946067914624;-0.049642086573373462
2190;0.025148646627006249;-0.03777160630334464;-0.27207962964753696;-0.0027739670836430769;0.025148646627006249;-0.0073449465276182388;-0.03777160630334464;-0.00050251206720559882;-0.6020029567816777;-0.044211420953530069
2195;0.022622130817814706;-0.029576367402931823;-0.23684079757266829;-0.0024029836667046134;0.022622130817814706;-0.0057931508663728228;-0.029576367402931823;-0.00043530736068834921;-0.47138743543055422;-0.038298696137954807
2200;0.019532715753446235;0.20436713023985856;1.8953682805446737;0.024980096508834208;0.019532715753446235;0.04154690576573037;0.20436713023985856;0.0045252158937531192;3.2571984279759612;0.39813217998299022
