Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89804794667325605;0.001910021888787013;-0.13233888583203957;4.2026851221640626e-05;0.89804794667325605;-0.11884149168764452;-0.96554266578345316;5.1729988450738285e-06;0.031608159774093175;0.00069548492402842258
2025;0.8065199011215376;0.0036948837905160965;-0.14228468894944557;8.1410169979813531e-05;0.8065199011215376;-0.11474541265190977;-0.93230438765621326;1.0020610705804844e-05;0.061145098850939356;0.001347223126114117
2030;0.73207141080481553;-0.11687557061358234;-0.019651052964086979;-0.0044553338724147105;0.73207141080481553;-0.014934371967763233;-0.11687557061358234;-0.00054839790054392497;-1.934125326693763;-0.073729471747387323
2035;0.6579181174530383;-0.11069052310930691;-0.020708761326093672;-0.0042088043223218611;0.6579181174530383;-0.01414272235074128;-0.11069052310930691;-0.00051805308429344644;-1.831771541706698;-0.069649756507412383
2040;0.59130782434015328;-0.10479158957098203;-0.021813649533236612;-0.0039721959753272985;0.59130782434015328;-0.013387511094983049;-0.10479158957098203;-0.00048892944856630816;-1.7341525380341587;-0.065734223141227927
2045;0.53144156870448067;-0.099160786675232787;-0.022966772634142041;-0.0037456713920543073;0.53144156870448067;-0.012666544679383513;-0.099160786675232787;-0.00046104700261592919;-1.6409707171188515;-0.061985561797142666
2050;0.47763652820860847;-0.093786860278972359;-0.024169072979879358;-0.0035288563298262045;0.47763652820860847;-0.011978391789809537;-0.093786860278972359;-0.00043435968167947377;-1.5520398388161485;-0.058397579288372567
2055;0.42927901656498424;-0.08865900650738856;-0.025421356955795948;-0.0033213890813477125;0.42927901656498424;-0.011321678077679977;-0.08865900650738856;-0.00040882296394847105;-1.467181114284285;-0.054964289870959554
2060;0.39086155823709245;-0.20741278200462412;-0.06531727929369735;0.025451352548271893;0.39086155823709245;-0.022397258825353119;-0.20741278200462412;0.0031327547391888019;-3.4323880743349804;0.42118387361698878
2065;0.35156021148627831;-0.19654831872352538;-0.068815321788903705;0.025131869950107553;0.35156021148627831;-0.021099298799595663;-0.19654831872352538;0.0030934302820076198;-3.2525965791355076;0.41589688865252122
2070;0.31623466255010291;-0.1861905774705426;-0.072470916970673871;0.024805069449995294;0.31623466255010291;-0.019864610893619881;-0.1861905774705426;0.0030532050792976967;-3.0811906165415874;0.4104888027648973
2075;0.28445913625283736;-0.17630344040607349;-0.07628803508867299;0.024477659087496797;0.28445913625283736;-0.018687923757871504;-0.17630344040607349;0.0030129048098785638;-2.9175724874108449;0.40507062451767395
2080;0.25587683170040776;-0.16686706474326307;-0.080270356333972392;0.024149838493322709;0.25587683170040776;-0.017566770412315018;-0.16686706474326307;0.002972554045884597;-2.7614138216963413;0.39964565751665537
2085;0.23016681317388604;-0.15786240782522806;-0.084421205015516865;0.023821802102561882;0.23016681317388604;-0.01649878300278905;-0.15786240782522806;0.0029321767199317512;-2.6123994903700671;0.39421711938745635
2090;0.20704040457728839;-0.14927119579554282;-0.088743475493835433;0.023493739011110279;0.20704040457728839;-0.015481688962392678;-0.14927119579554282;0.0028917961074456881;-2.470227086963813;0.38878813939960366
2095;0.186237946397069;-0.14107589347063837;-0.093239549005658118;0.023165832857018849;0.186237946397069;-0.014513307317745515;-0.14107589347063837;0.0028514348120571315;-2.3346064290000013;0.38336175650301163
2100;0.16871176167171684;-0.37779706535488794;-0.27563143660068734;0.025941164620658388;0.16871176167171684;-0.043309220539304707;-0.37779706535488794;0.0031930447017033819;-6.2520068874731187;0.42928957038107363
2105;0.15173980359302022;-0.3570178807235968;-0.28960494886140775;0.025673932279860975;0.15173980359302022;-0.040784446438353363;-0.3570178807235968;0.0031601516214433134;-5.9081407822431222;0.42486725324726643
2110;0.13649100052765423;-0.33724518175137758;-0.30412860167918776;0.025396128830140936;0.13649100052765423;-0.038384859767182658;-0.33724518175137758;0.0031259573650860989;-5.5809305905966511;0.42026999921782615
2115;0.12277483075585266;-0.31839461133461261;-0.31920662300597979;0.025123434451603491;0.12277483075585266;-0.036098147141893473;-0.31839461133461261;0.0030923919738129607;-5.2689803218254943;0.41575729308764536
2120;0.1104372283643858;-0.30042657184275839;-0.33484080112043402;0.024855261316644117;0.1104372283643858;-0.033919506925920523;-0.30042657184275839;0.0030593830931307381;-4.9716346911707481;0.4113194071415851
2125;0.099339617040512154;-0.28330308628768808;-0.35103009626634707;0.024591075352381878;0.099339617040512154;-0.031844330347688181;-0.28330308628768808;0.003026864985104849;-4.6882652332124612;0.40694750322912432
2130;0.089357352533617943;-0.26698773402188541;-0.36777020784975467;0.024330392578091917;0.089357352533617943;-0.029868194036651096;-0.26698773402188541;0.0029947780775413761;-4.4182692377657258;0.40263357215404971
2135;0.080378321756504084;-0.25144558893382268;-0.38505309271865684;0.024072775653412631;0.080378321756504084;-0.027986852840764229;-0.25144558893382268;0.0029630685391129723;-4.161068727101628;0.39837037655216861
2140;0.072301682770951767;-0.23664316004495278;-0.40286642962824581;0.023817830626429708;0.072301682770951767;-0.026196232914960191;-0.23664316004495278;0.0029316878790872011;-3.9161094729115176;0.39415139707670077
2145;0.065036731487160465;-0.22254833441667093;-0.42119302453597074;0.023565203871230719;0.065036731487160465;-0.024492425070634503;-0.22254833441667093;0.0029005925703764167;-3.6828600514980043;0.38997078171913996
2150;0.058501882332145191;-0.20913032227850431;-0.44001015086963524;0.023314579204985877;0.058501882332145191;-0.022871678376439698;-0.20913032227850431;0.0028697436946851541;-3.460810935724135;0.38582329810101945
2155;0.052623751424256272;-0.19635960429287677;-0.45928881836772573;0.023065675175234664;0.052623751424256272;-0.02133039400111578;-0.19635960429287677;0.0028391066086078075;-3.2494736223198628;0.38170428858234406
2160;0.047336331944067327;-0.18420788087417775;-0.47899296349574461;0.022818242508328299;0.047336331944067327;-0.019865119289344438;-0.18420788087417775;0.0028086506295626514;-3.0483797931843482;0.37760962803692322
2165;0.042580252428954662;-0.17264802348372099;-0.49907855379661137;0.022572061710565503;0.042580252428954662;-0.018472542062016772;-0.17264802348372099;0.0027783487405205684;-2.8570805093864373;0.37353568415456184
2170;0.038302109651429758;-0.16165402782462951;-0.51949259782744228;0.022326940813897748;0.038302109651429758;-0.017149485132564264;-0.16165402782462951;0.0027481773125285318;-2.6751454366062317;0.36947928013567194
2175;0.034453868580187355;-0.15120096886386603;-0.54017205156824399;0.022082713258490348;0.034453868580187355;-0.015892901031344064;-0.15120096886386603;0.002718115844078401;-2.5021621008133343;0.3654376596506545
2180;0.030992322677337585;-0.14126495761130115;-0.56104261135241362;0.021839235904832659;0.030992322677337585;-0.014699866930348462;-0.14126495761130115;0.0026881467164216449;-2.337735173021577;0.36140845394313614
