Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89808114766114511;0.0021218347852353828;-0.11779072271391744;7.49459661186083e-08;0.89808114766114511;-0.10578561922611324;-0.96536661978018112;8.2126374451041428e-09;0.026811817215411607;9.4702827882126692e-07
2025;0.80654975593638401;0.0041046001241653281;-0.12661530325133175;2.8991686458165678e-07;0.80654975593638401;-0.10212151016585663;-0.93192931905402632;3.1769316233276612e-08;0.051866332401213855;3.6634322497292419e-06
2030;0.73111438471950829;0.024486877635937609;0.0036701386454951468;0.0029237325579553313;0.73111438471950829;0.0030036760526278034;0.024486877635937609;0.00032038489499132969;0.30941979645134221;0.036944715713080375
2035;0.65707299201973701;0.025793008567417588;0.0043015281994018828;0.0028682437769478454;0.65707299201973701;0.0031407223953107593;0.025793008567417588;0.00031430439107249216;0.32592425949338416;0.036243551294327728
2040;0.59053007479625708;0.026987104883479936;0.0050078194769098694;0.0028138071131987774;0.59053007479625708;0.0032656071892495022;0.026987104883479936;0.00030833917898376393;0.34101303661526006;0.035555681584389438
2045;0.53072621573780276;0.028075113903796085;0.0057967607335396298;0.0027603923188224263;0.53072621573780276;0.0033789788317872059;0.028075113903796085;0.00030248594413822844;0.35476127902528332;0.034880724366521676
2050;0.47697891005948612;0.029062713145470511;0.0066768461162047821;0.0027079707712760366;0.47697891005948612;0.0034814563331975871;0.029062713145470511;0.00029674155005531737;0.36724072866674839;0.03421831796205372
2055;0.4286747757731536;0.029955321632755431;0.007657384346282381;0.0026565153706920703;0.4286747757731536;0.0035736305447618567;0.029955321632755431;0.00029110302711040075;0.37851986112915326;0.033568119933063426
2060;0.39000085150518199;0.21985267834049396;0.061773270348647324;-0.0048040344581590597;0.39000085150518199;0.023565198191880021;0.21985267834049396;-0.00052642984435224624;2.7780908612684905;-0.060704487778680122
2065;0.35077625591119599;0.21431224861251374;0.066950094334702892;-0.0046883320196883646;0.35077625591119599;0.022970752342762565;0.21431224861251374;-0.00051375108086589016;2.7080811742772579;-0.05924245470558695
2070;0.31549718041139352;0.20889496153953901;0.0725549206157583;-0.0045700896567153638;0.31549718041139352;0.022390078888773479;0.20889496153953901;-0.0005007939904707534;2.6396275360323282;-0.057748326771965217
2075;0.28376670551505201;0.20359884210802018;0.078622754346951984;-0.0044497789681930125;0.28376670551505201;0.021822909728205726;0.20359884210802018;-0.00048761025134807373;2.5727049899712693;-0.05622806317172277
2080;0.25522784661712683;0.19842190704609755;0.08519143849023969;-0.0043278367902156115;0.25522784661712683;0.021268979663741378;0.19842190704609755;-0.00047424773233791309;2.5072884751784232;-0.054687183830159629
2085;0.22955953559620698;0.19336216769142497;0.092301882187634243;-0.0042046672072391135;0.22955953559620698;0.020728026496318878;0.19336216769142497;-0.00046075071333024839;2.4433528626231524;-0.05313079481804435
2090;0.20647300680235744;0.18841763266995123;0.099998307399595809;-0.0040806434600548728;0.20647300680235744;0.020199791109598752;0.18841763266995123;-0.00044716009434222354;2.3808729890093128;-0.05156361246105165
2095;0.18570854673918119;0.1835863103974468;0.10832851526136333;-0.0039561097555260594;0.18570854673918119;0.019684017545770517;0.1835863103974468;-0.0004335135938304778;2.3198236883849166;-0.049989986207858605
2100;0.1685604410159878;0.41281345398603764;0.26836913880647906;0.0084083159343180548;0.1685604410159878;0.046157810213110814;0.41281345398603764;0.00092138982080985921;5.2163716748137521;0.10624871997060763
2105;0.15160649711464519;0.39243922161451683;0.28365404471537292;0.0078435122731853792;0.15160649711464519;0.043863294306624181;0.39243922161451683;0.00085949819492556201;4.9589198703421147;0.099111777627000672
2110;0.1363580414023553;0.37295406983596552;0.29971534906109154;0.0073083250272951653;0.1363580414023553;0.041669449935125918;0.37295406983596552;0.00080085195893223049;4.7127026193401171;0.09234907267340263
2115;0.12264348502473427;0.354321650186326;0.31658300385791205;0.006801419580216541;0.12264348502473427;0.039572147757253241;0.354321650186326;0.00074530486452001332;4.477260617256265;0.085943740699800888
2120;0.11030850510794107;0.33650704199608938;0.33428704514689711;0.0063215153241284322;0.11030850510794107;0.037567420808789692;0.33650704199608938;0.00069271658168466171;4.2521526013615158;0.079879599756939937
2125;0.09921430714160373;0.31947669779201743;0.35285743386838098;0.0058673836571640492;0.09921430714160373;0.03565145830029065;0.31947669779201743;0.00064295247927497606;4.0369546608373827;0.074141125050470991
2130;0.089236062254006335;0.30319839073992705;0.37232387213879115;0.0054378460518845527;0.089236062254006335;0.033820599646164504;0.30319839073992705;0.00059588341333464273;3.8312595726552101;0.068713424533900433
2135;0.080261501776964034;0.28764116406058654;0.39271559211681017;0.0050317721895575636;0.080261501776964034;0.03207132871717986;0.28764116406058654;0.00055138552265501795;3.634676162387982;0.06358221533305794
2140;0.072189653266832216;0.27277528234626225;0.41406111435990378;0.004648078158193329;0.072189653266832216;0.030400268308234141;0.27277528234626225;0.00050934003131452438;3.4468286890390254;0.058733800976215805
2145;0.064929703742198891;0.25857218470742227;0.43638797225928339;0.0042857247123855805;0.064929703742198891;0.028804174813444834;0.25857218470742227;0.0004696330579906545;3.2673562529968492;0.054155049405181427
2150;0.05839997733239919;0.24500443968147248;0.45972239879892851;0.0039437155930208464;0.05839997733239919;0.027279933100886014;0.24500443968147248;0.00043215543183240668;3.0959122262552854;0.049833371742896378
2155;0.052527015820229409;0.23204570183849962;0.48408897151089869;0.0036210959050064395;0.052527015820229409;0.025824551579642009;0.23204570183849962;0.00039680251469045164;2.9321637040772579;0.045756701794168103
2160;0.047244751721664924;0.21967067002098425;0.50951021108926464;0.0033169505511964938;0.047244751721664924;0.024435157452070921;0.21967067002098425;0.00036347402950552554;2.7757909773056411;0.041913476256528366
2165;0.042493764588071872;0.20785504715695008;0.53600612867760189;0.0030304027207381547;0.042493764588071872;0.023108992144450002;0.20785504715695008;0.00033207389466022655;2.6264870245562855;0.038292615618752808
2170;0.03822061215410516;0.19657550158790885;0.56359371635467115;0.0027606124301427686;0.03822061215410516;0.021843406909391096;0.19657550158790885;0.00030251006410845702;2.4839570235522301;0.034883505725621412
2175;0.034377228797773829;0.18580962985553295;0.5922863748086149;0.0025067751153789782;0.034377228797773829;0.020635858593695666;0.18580962985553295;0.00027469437309588646;2.3479178808906074;0.031675979987399225
2180;0.030920384537539689;0.17553592089295447;0.62209327160521743;0.0022681202734032499;0.030920384537539689;0.019483905565547251;0.17553592089295447;0.0002485423892978067;2.2180977795586214;0.028660302214015783
2185;0.027811198473343034;0.16573372156814176;0.65301862281541556;0.0020439101515036476;0.027811198473343034;0.018385203795105057;0.16573372156814176;0.00022397326919640012;2.0942357435345702;0.025827150053419821
2190;0.025014701191811803;0.15638320352951476;0.68506089007168702;0.0018334384829623606;0.025014701191811803;0.017337503082873535;0.15638320352951476;0.00020090961953365266;1.9760812188441552;0.02316759901522451
2195;0.022499441207519205;0.14746533130494149;0.71821188435798877;0.0016360292675146472;0.022499441207519205;0.016338643430327246;0.14746533130494149;0.00017927736367309363;1.8633936704546938;0.02067310706040686
2200;0.01957806553729774;-0.1062571166481561;-0.59473382234785932;0.0027979931630510578;0.01957806553729774;-0.011337131477186499;-0.1062571166481561;0.00030660627398748121;-1.3426805938102231;0.035355854178521336
2205;0.01759465033754902;-0.10461743338945037;-0.65156509281855124;0.0026085095953280123;0.01759465033754902;-0.011178217463506373;-0.10461743338945037;0.00028584251678870874;-1.3219613143783369;0.032961511877006675
2210;0.015812241838870068;-0.10296882813164719;-0.71358664032423191;0.0024261054071408055;0.015812241838870068;-0.01101755000627027;-0.10296882813164719;0.00026585452352327621;-1.3011292952502869;0.030656625659176852
2215;0.01421046220847566;-0.10131376703691423;-0.78125830678626995;0.0022506424300353604;0.01421046220847566;-0.010855414490059796;-0.10131376703691423;0.00024662715358417762;-1.280215699214865;0.028439449608072917
2220;0.012771000199343371;-0.099654558674599034;-0.85507980003306505;0.0020819783524702127;0.012771000199343371;-0.010692079484315106;-0.099654558674599034;0.00022814481236165841;-1.25924969769475;0.026308185454072784
2225;0.011477401500971041;-0.097993361943041354;-0.93559409433816576;0.0019199673827573743;0.011477401500971041;-0.010527797538767713;-0.097993361943041354;0.00021039152388879247;-1.2382585708476979;0.024260990951909724
