Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1;0;0;0;0;0;0;0;0;0
2020;0.466263686277366;0.296771985607967;-0.000374971564309767;0.000160845813408669;0.466263686277366;-0.000174698796756416;-0.205526425212446;1.36827067846663E-07;0.0842181292634016;0.0000456449198780594
2025;0.217402664164278;0.297928769674568;0.000178521994742553;0.000322732706170616;0.217402664164278;0.0000390856970219476;0.0456241024418665;0.0000002745397529953;0.0845464021286835;0.000091585277869552
2030;0.101396165710427;0.223532728760053;0.00187534789904963;0.000371931277573948;0.101396165710427;0.00019046947794851;0.223532728760053;3.16391611770506E-07;0.0634342497212099;0.000105546877504815
2035;0.0485421412246555;0.209791884839064;0.00367647836297946;0.00106901339556452;0.0485421412246555;0.000179373511921343;0.209791884839064;9.09380016203862E-07;0.0595348649219493;0.000303365252442964
2040;0.0232432570942912;0.156600791898166;0.00573138030368625;0.00148446847357585;0.0232432570942912;0.000134478742020376;0.156600791898166;1.26279611663954E-06;0.044440265167929;0.000421263339728449
2045;0.0111315676368035;0.105569180282226;0.0080675762517135;0.00149213004453278;0.0111315676368035;0.0000910740843133608;0.105569180282226;1.26931360234166E-06;0.0299584842990693;0.000423437544857312
2050;0.00533209123475742;0.0671642319886977;0.0107152606608929;0.00126945224762534;0.00533209123475742;0.0000582146352308842;0.0671642319886977;1.07988778279616E-06;0.0190599054014935;0.000360245908201913
2055;0.00255459059289997;0.0411641065054008;0.0137075438418954;0.000976464631974515;0.00255459059289997;0.0000358478139027524;0.0411641065054008;8.30651352482411E-07;0.0116815744437004;0.0002771017096789
2060;0.00122422151637751;0.0245877369204092;0.0170852291682566;0.000703020585500875;0.00122422151637751;0.000021514145253893;0.0245877369204092;5.98040093872564E-07;0.00697752249766917;0.000199503596753761
2065;0.000597252440020887;0.0131369332565144;0.0187110569117632;0.000436291073353164;0.000597252440020887;0.000011546365099116;0.0131369332565144;3.71140703195758E-07;0.00372800667440125;0.000123810938343294
2070;0.000291585707761365;0.00702022613732859;0.0204808099677267;0.000269728467226091;0.000291585707761365;6.20136198846654E-06;0.00702022613732859;2.29450518500917E-07;0.00199220391736321;0.0000765437036529243
2075;0.000142459145510025;0.00375236937282584;0.0224066797232025;0.000165777363372755;0.000142459145510025;3.33305864756896E-06;0.00375236937282584;1.41022200484719E-07;0.00106484959568297;0.0000470443980380129
2080;0.0000696523086750501;0.00200619116711521;0.0245018601640445;0.000101194383305676;0.0000696523086750501;1.79269437964107E-06;0.00200619116711521;8.6083252382128E-08;0.000569318113679352;0.0000287170018305761
2085;0.0000340805725956312;0.00107291518168215;0.0267806286049443;0.0000613327391459678;0.0000340805725956312;9.64873215716051E-07;0.00107291518168215;5.21740583886081E-08;0.00030447250361069;0.000017405040920193
2090;0.0000166881944440208;0.000573981840442838;0.0292584328183964;0.0000369121819683622;0.0000166881944440208;5.19670584395039E-07;0.000573981840442838;3.14001683943194E-08;0.000162884905508285;0.0000104749607886246
2095;0.0000081780097616186;0.00030717312085863;0.0319519850640326;0.000022065521990467;0.0000081780097616186;2.80074172701028E-07;0.00030717312085863;1.87705269442776E-08;0.0000871697695647326;0.0000062617668559606
2100;4.01164680494177E-06;0.000164244790152631;0.0348282114027653;0.0000150380640227737;4.01164680494177E-06;1.52510946552741E-07;0.000164244790152631;1.27924635570007E-08;0.0000466094835049123;4.26751068550747E-06
2105;1.96563388628573E-06;0.0000860127218119205;0.0372239382693845;7.77497904085925E-06;1.96563388628573E-06;7.97825932538338E-08;0.0000860127218119205;6.61395881052319E-09;0.0000244087409699861;2.20638814186558E-06
2110;9.64453521406494E-07;0.0000451097589843614;0.0397879407538409;3.96239622260209E-06;9.64453521406494E-07;4.17443200266929E-08;0.0000451097589843614;3.37070045713803E-09;0.0000128012740333394;1.12445113909349E-06
2115;4.73891055010362E-07;0.0000236938016360361;0.042532263521644;1.98544569438645E-06;4.73891055010362E-07;2.18446227618232E-08;0.0000236938016360361;1.6889635295726E-09;6.72384101497052E-06;5.63430951182118E-07
2120;2.33192194607974E-07;0.0000124645055916538;0.045469827444694;9.74277090798903E-07;2.33192194607974E-07;1.14319993222119E-08;0.0000124645055916538;8.28790471937809E-10;3.53718475472609E-06;2.76480927952757E-07
2125;1.14923111285115E-07;6.56766341488801E-06;0.0486144941967858;4.65278411236906E-07;1.14923111285115E-07;5.98272835339442E-09;6.56766341488801E-06;3.95799426747583E-10;1.86377540083656E-06;1.32036982199467E-07
2130;5.67254388666512E-08;3.46626186463553E-06;0.0519811356612664;2.13998369329328E-07;5.67254388666512E-08;3.13069520464714E-09;3.46626186463553E-06;1.82042471474867E-10;9.83657838116505E-07;6.07285835737277E-08
2135;2.80442781247224E-08;1.83250493215503E-06;0.055585708512762;9.30011706790008E-08;2.80442781247224E-08;1.63797458316337E-09;1.83250493215503E-06;7.91135138717198E-11;5.20029331393572E-07;2.63919271148398E-08
2140;1.38875212333238E-08;9.70465835841652E-07;0.0594453343608913;3.66780478960501E-08;1.38875212333238E-08;8.56749340198267E-10;9.70465835841652E-07;3.12009970393519E-11;2.75399367771164E-07;1.04085180833721E-08
2145;6.88868997153761E-09;5.14853747799425E-07;0.0635783858749683;1.17306875569688E-08;6.88868997153761E-09;4.47950759404864E-10;5.14853747799425E-07;9.97897022142127E-12;1.46105500474013E-07;3.32894143966282E-09
2150;3.42291706275483E-09;2.73635396733075E-07;0.0680045793384431;1.54497333439247E-09;3.42291706275483E-09;2.3408830088494E-10;2.73635396733075E-07;1.31426592191806E-12;7.76524144147172E-08;4.38433444847637E-10
2155;1.70380234677411E-09;1.45700332817413E-07;0.0727450741171753;-1.99419864476969E-09;1.70380234677411E-09;1.22246818575647E-10;1.45700332817413E-07;-1.69640942145231E-12;4.1346926455339E-08;-5.65914868608829E-10
2160;8.49609012093544E-10;7.77253119265297E-08;0.0778225795618869;-2.74136450137268E-09;8.49609012093544E-10;6.37867622683155E-11;7.77253119265297E-08;-2.33200267183043E-12;2.20569349005661E-08;-7.77946036455359E-10
2165;4.24432439257354E-10;4.15422853190076E-08;0.0832614699039613;-2.45703792088763E-09;4.24432439257354E-10;3.32487348238183E-11;4.15422853190076E-08;-2.09013394367278E-12;1.17888942506686E-08;-6.97259671604392E-10
2170;2.1242149809313E-10;2.22461554643343E-08;0.0890879077465489;-1.89855066139731E-09;2.1242149809313E-10;1.73091424879978E-11;2.22461554643343E-08;-1.61504433750675E-12;6.31302712980447E-09;-5.38771827425422E-10
2175;1.06511848029568E-10;1.19361741974523E-08;0.0953299767990356;-1.35925048043279E-09;1.06511848029568E-10;8.99749535513628E-12;1.19361741974523E-08;-1.15627664634486E-12;3.3872545598001E-09;-3.85728903716835E-10
2180;5.35074376660944E-11;6.41693963058281E-09;0.102017824549949;-9.28822470276855E-10;5.35074376660944E-11;4.6685888997043E-12;6.41693963058281E-09;-7.90123488232659E-13;1.82100291635262E-09;-2.63581788908677E-10
2185;2.6930995031627E-11;3.45659429048991E-09;0.109183815629454;-6.15038557761329E-10;2.6930995031627E-11;2.41723257069975E-12;3.45659429048991E-09;-5.23196225551171E-13;9.80914368218589E-10;-1.74536004985132E-10
2190;1.3580501321012E-11;1.86564688263582E-09;0.116862696664832;-3.98133120673025E-10;1.3580501321012E-11;1.24837321419007E-12;1.86564688263582E-09;-3.3868079224371E-13;5.29434373665046E-10;-1.1298245200669E-10
2195;6.86128342321688E-12;1.00895512386459E-09;0.125091773498797;-2.53354087161447E-10;6.86128342321688E-12;6.42768823900381E-13;1.00895512386459E-09;-2.1552128798772E-13;2.86321880646939E-10;-7.18969724122138E-11
2200;5.17183766843437E-12;9.79768390871487E-10;0.161153891882481;-2.4380561842533E-10;5.17183766843437E-12;6.26063097721147E-13;9.79768390871487E-10;-2.07398670731473E-13;2.78039252328925E-10;-6.91873023177186E-11
2205;2.59121633363356E-12;5.29102005142922E-10;0.173699270216826;-1.5991532524002E-10;2.59121633363356E-12;3.14056858730997E-13;5.29102005142922E-10;-1.36035527395072E-13;1.50148879353844E-10;-4.53808653962837E-11
2210;1.30686613296525E-12;2.87631085287391E-10;0.187226352016389;-1.03744011395358E-10;1.30686613296525E-12;1.5642762843707E-13;2.87631085287391E-10;-8.82521502117799E-14;8.16241191744608E-11;-2.94405367949378E-11
2215;6.63817448009893E-13;1.57482606258723E-10;0.201811629537246;-6.68411378052129E-11;6.63817448009893E-13;7.71061807017553E-14;1.57482606258723E-10;-5.68599001963774E-14;4.46905069677118E-11;-1.89682175433783E-11
2220;3.39752421889799E-13;8.68829274667416E-11;0.217537505171949;-4.28852459920103E-11;3.39752421889799E-13;3.74276061071198E-14;8.68829274667416E-11;-3.64812881269149E-14;2.46556884444026E-11;-1.21700004232169E-11
2225;1.75288883724739E-13;4.83193990555044E-11;0.234492743602798;-2.74498093609433E-11;1.75288883724739E-13;1.77531805432484E-14;4.83193990555044E-11;-2.33507907244376E-14;1.37121075874121E-11;-7.78972310435488E-12
2230;9.11951513601357E-14;2.70981785812006E-11;0.252772958197411;-1.75492317779512E-11;9.11951513601357E-14;8.12302393468437E-15;2.70981785812006E-11;-1.49286442478778E-14;7.68993711410823E-12;-4.98013135344003E-12
2235;4.78541953706164E-14;1.53283072726274E-11;0.27248113421483;-1.12150480608933E-11;4.78541953706164E-14;3.49903541352928E-15;1.53283072726274E-11;-9.54033001799438E-15;4.34987608628455E-12;-3.18261295907918E-12
2240;2.53311959234241E-14;8.74659598447076E-12;0.293728191578312;-7.1676496969007E-12;2.53311959234241E-14;1.34316576998293E-15;8.74659598447076E-12;-6.09732059912038E-15;2.48211417167919E-12;-2.03403986212423E-12
2245;1.3526410313734E-14;5.03474273101059E-12;0.31663359018107;-4.58250669330186E-12;1.3526410313734E-14;3.8470464168726E-16;5.03474273101059E-12;-3.8982112182126E-15;1.42876226426689E-12;-1.3004264545263E-12
2250;7.28535778378386E-15;2.92319624959652E-12;0.341325980903683;-2.9311336442824E-12;7.28535778378386E-15;-6.75212129053983E-18;2.92319624959652E-12;-2.49343401307485E-15;8.29546357303483E-13;-8.31798835852968E-13
2255;3.95694395136294E-15;1.7115092624913E-12;0.367943905764311;-1.87580356310554E-12;3.95694395136294E-15;-1.39760600170857E-16;1.7115092624913E-12;-1.5956940125258E-15;4.85693108831403E-13;-5.32316642444338E-13
2260;2.16652220640351E-15;1.01016802749697E-12;0.396636550871265;-1.20100201309821E-12;2.16652220640351E-15;-1.62337173358488E-16;1.01016802749697E-12;-1.02165906869238E-15;2.86666079155727E-13;-3.40821060240922E-13
2265;1.19529788127824E-15;6.0078016659036E-13;0.427564556122472;-7.69260281179176E-13;1.19529788127824E-15;-1.43321355906769E-16;6.0078016659036E-13;-6.54388363949631E-16;1.70489750321758E-13;-2.18301136695327E-13
2270;6.64179537946723E-16;3.59857679892573E-13;0.460900885885384;-4.92873498157335E-13;6.64179537946723E-16;-1.13152863631893E-16;3.59857679892573E-13;-4.19273801058483E-16;1.02120624827625E-13;-1.39867932255412E-13
2275;3.71499614435677E-16;2.16972884812129E-13;0.496831765206318;-3.15853590321912E-13;3.71499614435677E-16;-8.41150709166288E-17;2.16972884812129E-13;-2.68687880130173E-16;6.15726933333243E-14;-8.96331183131937E-14
2280;2.09050794334123E-16;1.31612100334244E-13;0.535557686431864;-2.02432312816991E-13;2.09050794334123E-16;-6.02447885520763E-17;1.31612100334244E-13;-1.72203548312403E-16;3.73489595248359E-14;-5.74463612290938E-14
2285;1.18282639315727E-16;8.0270535670809E-14;0.577294491486413;-1.29740393392536E-13;1.18282639315727E-16;-4.20826345144446E-17;8.0270535670809E-14;-1.10366550629888E-16;2.27792199971896E-14;-3.68178054240301E-14
2290;6.72552288291338E-17;4.91978161185428E-14;0.622274535437683;-8.31444457483897E-14;6.72552288291338E-17;-2.88774553536392E-17;4.91978161185428E-14;-7.07286716290435E-17;1.39613853000998E-14;-2.35947798955043E-14
2295;3.8409389661569E-17;3.02854822132565E-14;0.670747937394955;-5.32745255981779E-14;3.8409389661569E-17;-1.95561409544838E-17;3.02854822132565E-14;-4.53191598465804E-17;8.59443202031134E-15;-1.51182763227544E-14
2300;2.0438890025174E-17;1.51837473752817E-14;0.631951751020298;-3.03056276351315E-14;2.0438890025174E-17;-1.2863763702861E-17;1.51837473752817E-14;-2.5780156043181E-17;4.30885279328058E-15;-8.60014890002309E-15
2305;1.12392269327984E-17;9.0147246320978E-15;0.682304575869818;-1.8461684305991E-14;1.12392269327984E-17;-8.03626631524633E-18;9.0147246320978E-15;-1.5704842280734E-17;2.5582038775819E-15;-5.23906767047733E-15
2310;6.18837578600397E-18;5.35914628251392E-15;0.736683923581704;-1.12373236732488E-14;6.18837578600397E-18;-5.00040230834796E-18;5.35914628251392E-15;-9.55927926297938E-18;1.52082169561128E-15;-3.18893434550295E-15
2315;3.41133905397607E-18;3.18973433988288E-15;0.795411538479462;-6.83466250138245E-15;3.41133905397607E-18;-3.10063919153793E-18;3.18973433988288E-15;-5.81405763673611E-18;9.05184693905138E-16;-1.93954455921428E-15
2320;1.88248953595416E-18;1.90055281509564E-15;0.858834794665641;-4.15385741187985E-15;1.88248953595416E-18;-1.91682366117945E-18;1.90055281509564E-15;-3.53357117525086E-18;5.39339999783827E-16;-1.17878410840826E-15
2325;1.03981385296059E-18;1.13351443386053E-15;0.927328729052168;-2.52280046578402E-15;1.03981385296059E-18;-1.18182705611019E-18;1.13351443386053E-15;-2.14607631482698E-18;3.21669395166236E-16;-7.15921805415398E-16
2330;5.74849162797106E-19;6.76635991228601E-16;1.00129823491326;-1.53118050110911E-15;5.74849162797106E-19;-7.26937289529185E-19;6.76635991228601E-16;-1.30253274157929E-18;1.92016161016076E-16;-4.34519306476432E-16
2335;3.18046909549883E-19;4.04228654894563E-16;1.08118042857301;-9.28744794612519E-16;3.18046909549883E-19;-4.4619131772808E-19;4.04228654894563E-16;-7.90057411701546E-19;1.14712246306335E-16;-2.63559746062799E-16
2340;1.76089958865148E-19;2.41662676961429E-16;1.16744720282897;-5.62997321591787E-16;1.76089958865148E-19;-2.73350460857887E-19;2.41662676961429E-16;-4.78926190781273E-19;6.85791771240924E-17;-1.59767712264459E-16
2345;9.75561108835843E-20;1.44568033084952E-16;1.26060798177876;-3.41089826899235E-16;9.75561108835843E-20;-1.67175633892661E-19;1.44568033084952E-16;-2.90155645943801E-19;4.10256017688532E-17;-9.6794672426318E-17
2350;5.40784304033516E-20;8.65342051903025E-17;1.36121269286335;-2.06535873037406E-16;5.40784304033516E-20;-1.02082087188124E-19;8.65342051903025E-17;-1.75694333063293E-19;2.45567278309404E-17;-5.86108719708173E-17
2355;2.9992955609687E-20;5.18240669721469E-17;1.4698549731718;-1.24996422530369E-16;2.9992955609687E-20;-6.22456913629903E-20;5.18240669721469E-17;-1.06330986326009E-19;1.47066643176386E-17;-3.54715585723494E-17
2360;1.66424900169835E-20;3.10513890226432E-17;1.58717562839094;-7.56110798097833E-17;1.66424900169835E-20;-3.79056918259196E-20;3.10513890226432E-17;-6.43202463766155E-20;8.81178150680181E-18;-2.14569568624228E-17
2365;9.23850351862006E-21;1.86129977613813E-17;1.71386636421715;-4.57160670048244E-17;9.23850351862006E-21;-2.30558285331506E-20;1.86129977613813E-17;-3.88893889694154E-20;5.2820074921699E-18;-1.29733324812963E-17
2370;5.13040461925042E-21;1.11614145410535E-17;1.8506738115912;-2.76284850534669E-17;5.13040461925042E-21;-1.40080797037167E-20;1.11614145410535E-17;-2.350278517543E-20;3.16739280715862E-18;-7.84042779785335E-18
2375;2.85004959125466E-21;6.69535208048395E-18;1.99840386878871;-1.66900937421814E-17;2.85004959125466E-21;-8.5022492440033E-21;6.69535208048395E-18;-1.41977993734063E-20;1.90001096573532E-18;-4.7363246544912E-18
2380;1.5837613997923E-21;4.01757617712144E-18;2.15792638519598;-1.00781817179507E-17;1.5837613997923E-21;-5.15558887081494E-21;4.01757617712144E-18;-8.57322938328169E-21;1.14011013916029E-18;-2.85999235717496E-18
2385;8.80340704655581E-22;2.41144873760641E-18;2.33018021354229;-6.08324146887268E-18;8.80340704655581E-22;-3.12349213518776E-21;2.41144873760641E-18;-5.17484462635208E-21;6.84322346261081E-19;-1.72630585503705E-18
2390;4.8946758772638E-22;1.44778193724067E-18;2.51617865943183;-3.67049572220872E-18;4.8946758772638E-22;-1.89080090687114E-21;1.44778193724067E-18;-3.12238880559183E-21;4.10852412790811E-19;-1.04161544277998E-18
2395;2.72206696022376E-22;8.69418022757408E-19;2.71701535929183;-2.21390062292317E-18;2.72206696022376E-22;-1.14371402060766E-21;8.69418022757408E-19;-1.88330379460254E-21;2.46723959724548E-19;-6.28262025661574E-19
